0,20,9
0,0,6
0,0,7
0,1,16
0,2,3
0,3,0
0,4,2
0,5,13
0,1,27
0,5,15
0,1,28
0,3,1
0,2,4
0,0,8
0,4,5
0,2,10
0,4,12
0,5,17
0,3,11
0,6,14
1,20,14
1,7,0
1,8,3
1,9,10
1,10,5
1,11,1
1,8,18
1,7,15
1,9,11
1,10,6
1,11,2
1,7,16
1,8,19
1,10,7
1,10,9
1,7,17
1,9,12
1,8,21
1,12,4
2,20,18
2,13,23
2,14,6
2,15,8
2,16,19
2,15,9
2,13,24
2,16,20
2,14,10
2,16,21
2,14,13
2,15,11
2,16,22
2,13,25
2,13,26
2,6,3
3,20,10
3,5,2
3,0,0
3,10,15
3,8,11
3,13,13
3,9,6
3,2,16
3,0,1
3,10,18
3,5,3
3,16,4
3,8,12
3,16,5
3,7,7
3,9,9
3,2,17
3,7,8
3,13,14
3,6,19
4,20,15
4,3,3
4,14,2
4,10,0
4,7,1
4,14,11
4,8,4
4,11,5
4,7,6
4,5,18
4,7,13
4,4,7
4,8,17
4,3,8
4,5,19
4,8,20
4,11,9
4,4,10
4,17,12
5,20,17
5,13,5
5,2,13
5,9,14
5,0,24
5,2,28
5,1,0
5,16,9
5,16,12
5,9,16
5,13,11
5,15,1
5,16,15
5,15,3
5,1,4
5,0,25
5,6,2
6,20,19
6,7,18
6,15,2
6,16,14
6,7,20
6,14,0
6,8,22
6,13,21
6,13,27
6,13,28
6,13,29
6,8,23
6,14,1
6,15,5
6,16,16
6,6,4
7,20,24
7,14,8
7,10,21
7,15,12
7,2,14
7,14,9
7,10,22
7,15,13
7,18,0
8,20,3
8,10,13
8,8,7
8,16,2
8,13,8
8,1,19
8,3,14
8,7,10
8,0,4
8,5,0
8,2,15
8,7,11
8,3,16
8,0,5
8,16,6
8,10,17
8,2,20
8,8,9
8,5,1
8,1,23
8,13,12
8,6,18
9,20,30
9,4,27
9,4,28
9,9,25
9,19,0
10,20,31
10,11,27
10,11,28
10,6,16
11,20,32
11,14,25
11,14,26
11,6,20
12,20,33
12,15,23
12,15,26
12,6,21
13,20,34
13,13,20
13,10,26
13,6,22
14,20,35
14,10,28
14,13,22
14,6,23
15,20,4
15,8,2
15,7,3
15,16,0
15,10,10
15,4,15
15,11,11
15,1,21
15,15,16
15,4,17
15,16,1
15,13,6
15,4,18
15,10,12
15,14,14
15,15,19
15,13,7
15,1,22
15,11,13
15,8,8
15,4,20
15,7,9
15,20,5
16,20,20
16,14,3
16,16,17
16,15,4
16,13,15
16,10,1
16,8,24
16,16,18
16,13,16
16,7,19
16,14,5
16,8,25
16,7,21
16,10,11
16,15,7
16,6,6
17,20,11
17,1,18
17,15,14
17,7,2
17,10,4
17,13,0
17,14,15
17,15,17
17,16,3
17,14,16
17,7,5
17,1,20
17,8,6
17,8,10
17,8,13
17,13,1
17,10,8
17,7,12
17,16,7
17,6,9
18,20,12
18,0,9
18,16,8
18,2,5
18,16,10
18,10,2
18,10,3
18,0,15
18,10,14
18,15,0
18,16,11
18,16,13
18,2,6
18,0,16
18,14,4
18,10,19
18,2,7
18,14,17
18,15,18
18,6,1
19,20,7
19,13,4
19,1,24
19,9,2
19,11,0
19,4,1
19,9,3
19,8,5
19,8,14
19,1,25
19,13,9
19,13,10
19,8,15
19,4,6
19,1,26
19,11,8
19,4,11
19,11,12
19,8,16
19,13,17
19,6,13
20,20,28
20,7,26
20,7,27
20,7,29
20,7,30
20,6,12
21,20,16
21,15,6
21,8,0
21,5,20
21,5,21
21,14,7
21,13,2
21,5,22
21,7,4
21,15,10
21,2,8
21,13,3
21,2,9
21,8,1
21,14,12
21,7,14
21,5,23
21,6,5
22,20,25
22,0,28
22,9,18
22,10,23
22,10,24
22,9,19
22,0,29
22,6,11
23,20,21
23,10,16
23,13,18
23,8,28
23,0,26
23,7,22
23,2,11
23,0,27
23,10,20
23,8,29
23,2,12
23,7,23
23,13,19
23,6,7
24,20,26
24,0,30
24,10,25
24,9,23
24,9,24
24,10,27
24,21,0
25,20,36
25,9,30
25,9,31
25,6,24
26,20,37
26,5,26
26,5,29
26,6,25
27,20,38
27,16,24
27,6,26
28,20,29
28,11,16
28,9,27
28,9,28
28,11,26
28,6,17
29,20,22
29,8,26
29,16,23
29,16,28
29,16,29
29,8,27
29,16,30
29,7,24
29,7,25
29,16,31
29,16,32
29,16,33
29,6,8
30,20,8
30,9,17
30,2,0
30,0,12
30,5,24
30,5,25
30,2,2
30,9,20
30,9,21
30,9,22
30,9,26
30,5,27
30,5,28
30,9,29
30,5,30
30,5,31
30,0,18
30,0,19
30,0,23
30,5,32
30,22,1
31,20,6
31,9,0
31,2,21
31,2,22
31,2,24
31,2,25
31,5,4
31,3,2
31,4,3
31,4,9
31,0,10
31,0,11
31,3,12
31,5,5
31,5,7
31,0,13
31,0,14
31,9,1
31,2,26
31,5,8
31,2,27
31,6,15
32,20,0
32,2,1
32,5,6
32,0,2
32,5,9
32,0,3
32,0,17
32,9,4
32,9,5
32,9,7
32,9,8
32,5,10
32,5,11
32,2,18
32,2,19
32,5,12
32,9,13
32,0,20
32,5,14
32,9,15
32,0,21
32,0,22
32,2,23
32,5,16
32,22,24
33,20,1
33,3,4
33,3,5
33,3,6
33,3,7
33,3,9
33,3,10
33,3,13
33,3,15
33,3,17
33,3,18
33,3,19
33,1,2
33,3,20
33,3,21
33,3,22
33,3,23
33,3,24
33,3,25
33,1,3
33,3,26
33,3,27
33,3,28
33,6,0
34,20,2
34,4,0
34,11,15
34,4,4
34,1,1
34,4,8
34,11,17
34,11,18
34,11,19
34,11,20
34,11,21
34,4,13
34,11,22
34,11,23
34,1,5
34,1,6
34,4,14
34,1,7
34,11,24
34,4,16
34,1,9
34,11,25
34,23,3
35,20,13
35,11,3
35,4,19
35,4,21
35,1,8
35,11,4
35,1,11
35,4,22
35,1,12
35,4,23
35,11,6
35,1,15
35,11,7
35,4,24
35,11,10
35,4,25
35,4,26
35,11,14
35,1,17
35,24,0
36,20,23
36,14,18
36,14,19
36,15,15
36,14,20
36,15,21
36,14,22
36,15,24
36,15,25
36,6,10
37,20,27
37,15,20
37,14,21
37,15,22
37,14,23
37,14,24
37,25,0
